tags	description
	Love Dogs?  Turn your passion into a dog-sitting job with Rover.com!  Positions available in San Francisco, Oakland, Fremont, San Jose and other surrounding cities.  Rover.com is a nationwide, dog loving community that connects dog owners with local dog sitters as an alternative to kennels.  Rover.com was founded in 2011 on the idea that dogs deserve a safe, loving home to stay in while their owners travel.    As a Rover.com dog sitter, you are in full control of which dogs you want to host in your home or dog sit based on your own preferences and requirements. You can specify which dog sizes you will take: small, medium, large, and/or giant. You can dog sit in your own home, or travel to other peoples' homes. You can also choose to provide cat care, dog walking, extended stays, puppy care, and pick-up/drop-off.  We are currently seeking part time or full time dog lovers to provide a safe home for pups in their neighborhood.  If you are looking for a flexible schedule, love taking care of animals, and meet the following criteria, we want to hear from you. We are looking for someone with great customer service skills, previous pet experience, a passion for animal care, and reliable transportation.   APPLICATION REQUIREMENTS: * Obtain at least one (1) testimonial and/or verify your account through our TrustCloud® verification process * Verify your phone number * Complete at least three (3) of the content categories  BENEFITS: * Set your own nightly rates – top sitters can earn up to $1,000/month! * 24/7 schedule flexibility – you’re in control! * Receive payment within 48 hours of a completed stay * FREE insurance coverage with every stay booked through Rover.com  Getting started is easy.  Simply click the “Apply Now” button below to begin your dog-sitter application.
	Full service DME/RT company (located in Exton) is looking for an experienced DME Sales Professional. Responsibilites include opening and support of new accounts. Existing relationship with Healthcare providers preferred.    Knowledge of DME/RT products and strong communication skills a must.  Excellent Compensation and full benefits package.  Please email your resume or Fax it to  XXX  
full-time-job salary associate-needed	Do you have a competitive edge and desire to be in control of your success? AlphaGraphics in Sugar Land is seeking an eager, HIGHLY motivated and energetic individual to increase the business center's sales and client base. This individual will sell products such as print, marketing and design services to businesses and individuals. Servicing the customer and contacts by maintaining and acquiring new accounts by performing the following duties:   *Responsibilities Include:* • Understand and communicate the AlphaGraphics products and services to potential and existing customers. • Compile lists of prospective customers for use as sales leads, based on information from newspapers, business directories, industry ads, trade shows, Web sites, and other sources. • Cold-calling, prospecting, following up on leads and referrals. Turns leads into customers. • Travels throughout the assigned territory to call on regular and prospective customers to solicit orders, or meet with customers in the business center or by phone. • Encourage overall client relations with high levels of customer service. • Gain access to key decision makers at appropriate levels.  • Meeting Metrics & Activity Quotas (job performance based on results) • Other duties may be assigned.    *Requirements:* • Experience a plus • Associates Degree or minimum 2 years related experience • Dynamic presentation skills • Detail and deadline oriented • Proactive follow-up skills • Self-motivated, ability to work independently and with the team, ability to multi-task • Computer skills and proficient in Microsoft Office * Meeting metrics and activity quotas   *Job Type:* Contract to Full Time   *Salary/Wage/Compensation:* Base Pay plus Commission   To be considered for a position with our innovative and exciting company, please email cover letter and resume. Selected candidate(s) may be required to successfully pass a drug screening test and background check.   AlphaGraphics is proud to be an Equal Opportunity Employer We look forward to hearing from you!!
	Roll-Off / Waste Disposal company is looking for a candidate to fill the position of trucking manager / dispatcher.  All potential candidates will be assessed on their commitment to the position and dedication towards growing with the company.  Must have very strong computer skills and also be very skilled in Excel, Word, and Powerpoint.  Apply online or email resumes to the address within.     
	I AM LOOKING FOR TRUCK DRIVER WITH CDL A CLASE, DRIVER MUST STAY 5 DAYS IN THE TRUCK,  SATURDAY AND SUNDAY OFF.  0.41 CPM CALL DANNY ON   XXX 
supervising-job 2-4-years-experience-needed	FRC = The obvious choice.   We seek curious and excited restaurant managers who are willing to share their talent with us!   *You’ve got to come with:*  * At least 2 years experience as a manager in a full service & high-volume location. * The ability to make people smile while running a business. * A desire to learn everything there is to know about food and dining.   Just for you: Medical, dental, vision, 5-day work week, paid time off, dining discounts, 401K and endless opportunities!   Are you feeling it? www.example.com     *Apply Now* Tell us what you’ve got.   We’re already excited about the possibility of meeting you!
1-year-experience-needed	Full and Part-Time Positions - Edwards Mill Road Office.  Serves as first point of contact in customer service and public relations.  Works to operate the central communications for the clinic so that all calls are processed promptly.  Makes appointments for patients and maintains accurate and orderly schedules for physicians.  Prefer minimum of 1 to 2 years' experience in medical appointments scheduling.
supervising-job	Experienced Program Manager - preferably with a PMP certification  Experience leading government programs - non-IT  Excellent people management skills  Superior communication and organization skills  Location: San Antonio  Veterans encouraged to apply  
	Restoration and Remodeling company in Minneapolis is looking to add new storm restoration sales reps to their existing sales team. This is a great company with plenty of room for advancement.   Required: * Experience in roofing/remodeling sales (storm damage restoration desired) * Self-motivated * Eager to sell * Willing to go door to door (experience preferred) * Local to the area, but willing to travel   Provided: * Full office support on the back end * Marketing materials * Generous commission structure  If you are in the Minneapolis area and have experience in storm restoration or remodeling sales we would love to hear from you.
part-time-job	Small family owned industrial business in Frisco is seeking a skilled worker for steady party time employment. Qualified candidates must be able to work independently. MS Office / Quick Books skills a plus. Looking for a motivated, self-starter with a good work ethic. Some lifting and packaging of items is required.   Key Responsibilities:  Answer Phones and Take Orders / Resolve Customer Questions Receive Orders, Package Items and Ship Maintain a Clean and Tidy Work Area Be Capable of Working Independently Telemarketing/Internet Leads for New Sales Order, Receive and Stock Inventory Troubleshoot Office Technical Issues with Help From Outside Support Personnel If Needed for Phones or Computers  Ideal candidate will wear many \"hats\" during the workday.   We provide a pleasant work environment, the ability to have some flexibility in work hours and competitive compensation.  Potential for full-time employment for the right candidate.  
	At Metzler's Mr. Plumber, we do more than just plumbing.  We focus on building trust with our teammates, our clients and our community.  In addition, we continuously strive to make Metzler's Mr. Plumber an employer of choice and a great place to work!        Position:  Plumbing warehouse clerk       Responsibilities:    Order inventory & supplies.    Return materials for credit.    Receive supplier deliveries and distribute.    Deliver materials to jobsites.    Maintain organization & cleanliness of warehouse.    Accurately maintain continual & year end invenotry.        Required Skills/Qualifications/Abilities:    Strong organizational skills.  Ability to multitask.  High level of motivation.  Ability to quickly learn inventory software.          Education and Experience Requirements:    High school diploma or general education degree (GED); or up to one year related experience and/or training, or equivalent combination of education and experience.        Disclaimer:    The above description is intended to describe the general duties and level of work being performed by associates assigned to this position. They are not to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. All personnel may be required to perform duties outside of their normal responsibilities from time to time, as needed.  
full-time-job bs-degree-needed 5-plus-years-experience-needed supervising-job	Title:           Oracle Applications DBA Specialist (13-00442) Location:    Seymour, IN Salary:       Competitive with the industry Type:          Direct  POSITION RESPONSIBILITIES:  •Involved in the creation, maintenance, documenting, and monitoring of Oracle EBS databases •Managing and maintaining the EBS hardware environment, including storage and Linux OS •Optimize the performance of Oracle EBS and database •Database backup, cloning, and disaster recovery •Patch management and strategy for Test, QA, and Production instances •Participate in project development teams, assisting in design/testing developed programs •Other tasks and duties as assigned.  Essential Skills and Experience:  •At least 3 to 5 years of experience working with Oracle EBS and RDBMS •3 to 5 years of experience with Oracle 10g and 11g RDBMS as well as Oracle RAC and ASM •3 to 5 years of experience supporting EBS R12 and 11i •Knowledge of Linux, Redhat and Oracle UEL, is critical  Beneficial Skills and Experience:  •Knowledge of IBM server and SAN hardware a plus •Data-warehousing and data purging experience a plus •SOX and J-SOX understanding a plus •Excellent written and verbal communication skills •Willingness to help where needed, to be flexible with work assignments, and to understand and assist with the diversity of user requests •Strong analytical, organizational and prioritizing abilities •Experience in a manufacturing environment a plus  EDUCATION / TRAINING / CERTIFICATIONS REQUIRED:  •Bachelor degree or Oracle DBA experience more than 3 years  WORK ENVIRONMENT REQUIREMENTS:  •Must be able to operate a personal computer, telephone and other office equipment. Effectively communicate information to other IS staff. •Must perform job duties onsite, except those duties that are customarily or by their nature performed offsite (for example, offsite customer visits). •Must be able to work effectively in a fast paced environment where constructive criticism is encouraged. •Must be able to work on multiple assignments at once, and complete assignments within deadline and budget (if applicable) with satisfactory quality. •Must be able to operate as an effective team member. •Must be committed to a high standard of safety, and be willing and able to comply with all safety laws and all company safety policies.  ATTENDANCE / WORK HOUR REQUIREMENTS:  •Must maintain an acceptable attendance record. •Must be willing and available to work 8 hours per day, 5 days per week, plus other hours per day or week as are necessary or desirable to meet business needs. •Must be willing and available to work such weekends and holidays as necessary and desirable to meet business needs. NOTE: These requirements are consistent with company policy.  TRAVEL REQUIREMENTS:  •Approximately 10% •Must be willing and available to travel to such locations and with such frequency as is necessary and desirable to meet business needs.
full-time-job bs-degree-needed 2-4-years-experience-needed	All Campus partners with leading, traditional institutions of higher education to expand online enrollment. The partnerships we form are close, dedicated, and flexible, allowing schools to select a range of services to suit their needs – whether it’s seeking sophisticated, data-driven marketing strategies or proven enrollment expertise. Each of the services we provide is shaped by hard data and proven results, creating the effective blend of science and creativity that characterizes everything we do.  At All Campus, we care; about our work, about our clients, and about each other. To complement the work ethic and drive of our employees, we strive to foster a culture of support and inspiration for the substantial pool of talent we’ve been able to gather. The work environment is friendly and flexible, with opportunities for team members to interact with several departments at once. Each team member can have an immediate impact, and every perspective is welcome.  We’re unabashed overachievers. Every single thing we do is done with the utmost care and attention. Our absolute dedication to providing a superior service to our partner institutions makes for a fast-paced, multi-dimensional environment.  As a result, we love hiring smart people and inspiring them to do what they do best. We know that true happiness comes from the satisfaction that you’re performing at your full potential in something you love doing. For all the hard work that our atmosphere demands, it also facilitates close camaraderie among our team members. The culture reflects the distinct blend of dedication, focus, and skill that only the cooperation of a caring, expert team can create. Put simply, we genuinely like working with one another, and it shows.  All Campus is seeking a driven, conscientious grammar-guru to join its growing marketing team. This individual is responsible for writing and maintaining copy for websites, landing pages, email communications, and other Web-based advertising, as well as offline channels for higher education marketing. (S)he should have an exemplary writing pedigree/background and should be able to create content pieces across various media (display, email, websites, print, news articles, blogs)―adapting voice/tone as needed―to attract enthusiastic, high-quality students to its top-tier client universities. (S)he should be able to adapt copy from offline sources for online use, and vice versa. This individual must collaborate seamlessly with web designers on blending content in layout. (S)he will also actively participate in Search Engine Optimization projects (SEO), including SEO-friendly content development and analyses for client and external sites, and managing email and social media channels. Therefore, knowledge of SEO practices, website editing platforms (e.g.,WordPress) and experience with mail clients (e.g., MailChimp) is a strong plus.  *ESSENTIAL DUTIES AND RESPONSIBILITIES:* * Develop, maintain, and update web content for all education-focused sites applying best practices for Search Engine Optimization (SEO). * Partner closely with department representatives to generate accurately-sourced content that effectively portrays the specific voice, strategy, and education programs offered by our clients. * Align site, ads, and other marketing collateral content with the current marketing strategies while maintaining compliance guidelines. * Ensure consistent voice and approach throughout all related sites and ads. * Partner with web development team to align content with overall communication strategy, mission, and vision while maintaining the best user experience possible. * Develop communication/marketing strategies to engage prospects in various media channels, including email and social media. * Perform analyses to optimize content effectiveness and report on impact/effectiveness of communications. * Work in conjunction with content team and EVP of Marketing to maintain internal and external admissions materials. * Provide substantive feedback on content, grammar, punctuation, and syntax, as needed. *EDUCATION and EXPERIENCE* an equivalent combination of education, training and experience will be considered. * Bachelor's degree in English or a related field. * Two to five years of experience in professional copywriting or content development. * Experience translating technical content into readable, user-friendly language for prospects. * Experience with promotional writing and writing for the web and managing content. * Experience writing for a variety of direct marketing channels, including display ads and email. * Experience writing using SEO best practices. * Experience with WordPress and/or working with a content management system (CMS). * Experience researching topics for content pieces applying the appropriate sourcing. All Campus, LLC offers a competitive salary and excellent benefits package including, 401(k), medical & dental benefits and others.
hourly-wage	Metalskills, your skilled service staffing provider is seeking experienced Mechanic/Millwrights for an approx one week shut down in Duncan, SC  Approx 1 week job, consisting of 12 -14 hour days  $19.50 an hour  Applicants need to be within driving range of project site. No per diem is offered for this shutdown.  Applicant must have actual Scissor Lift license, forklift license and rigging experience.  Must have all appropriate PPE. Hard hat, steel toed boats, gloves, safety glasses.  All applicants must be able to pass a drug screening and background check.   Interested applicants, please reply to this posting and attach your resume, along with cover letter in .DOC format or fax to  XXX , ATTN: Mandy Pace. If you have any questions, please contact Mandy at 864- at  XXX , Option 1, ext 2.  Metalskills is an Equal Opportunity Employer.
	Job Data    Job Title…………………. Service Technician  Department……………... Service Department  Supervisor………………. Service Manager    Summary Description    Repair, customize, maintain, or overhaul both customer and dealer owned motor vehicles as close to the allotted time schedule as possible with excellent quality.
	MOI- Tel + F2F.  Required Skills- Strong SAP Business Warehouse (BW) experience on technology projects using SAP ERP systems.   Must have strong experience in data modeling using BI 7.0 and experience in BOBJ 4.0 and its new capabilities Ability to communicate technical information verbally and in writing Ability to establish and maintain effective working relationships with others Ability to map business processes to technology — particularly SAP technology Knowledge of the SAP Business Process Platform Knowledge of the SAP IT Practices I IT Scenarios and how to map those to the organization's business processes.  Job Role- The duties and obligations require providing development operations and maintenance support for FDOR’s CAMS system, which is an SAP CRM/BW/ECC Portal.  • Provide technical level support to CSE processes in area of Business Intelligence (BI), relevant to CAMS projects for new enhancements development and implementation.  • Assist ISP Team on an as-need basis to analyze trends and cause/effect relationships associated with CSE performance, including analysis and dissemination of data related information such as performance accountability measurements (PAMS), Federal, Management and Operational reporting.  • Analyze and develop system changes in SAP BW, required by CSE Program Office, Department of Revenue, federal and state laws, regulations by performing upfront analysis to determine system impact.  • Work closely with BPOs and Business Analysts to define and design the BI Dashboards, Reports presentation and Information Delivery for business intelligence applications. • The detailed work involves troubleshooting problems with development, quality assurance, and production systems, improving performance of existing processes, supporting OSS note implementation and upgrades from SAP, adhoc requests for data, general support of insuring the application’s data integrity, batch job performance, quality performance and enforcing efficient methods of coding by the programming staff.  • Extracting data from multiple sources like BI, ECC and other system and merge the data for reporting in BOBJ Tool. Providing data integration and data quality processes in one runtime environment, delivering enterprise performance and scalability.
hourly-wage	We R Wireless is currently looking for Retail Sales Consultants to sell and service wireless phones, accessories and service-based technology products in a high-traffic environment.    If you are a MONEY-DRIVEN, self-motivated, ethical individual who wants to connect with a dynamic, high performance sales team, we are looking for you!   No experience necessary. We will train the right person   PRIMARY RESPONSIBILITIES     --------------------------------------------------------------------------------  As part of our dynamic team Retail Sales Consultants will have the opportunity to utilize proven sales methods to prospect, qualify and close sales through building and developing relationships in person and over the phone.   • Consult customer based upon their wireless service needs.   • Maximize transactions selling wireless products and services to new and existing customers.   • Successfully achieve business and personal sales goals.  • Exhibit assertiveness and have a drive to win.  • Maintain knowledge of wireless products and services.  • Develop and maintain long-term relationships with We R Wireless customers   • Ability to thrive in an environment of constant change.  • Build and maintain prospect list.  • Natural networker, follow leads and referrals, and not afraid to pick-up the phone.  • Arrange and display store merchandising  • Keep sales floor presentable for customers             ESSENTIAL DUTIES & RESPONSIBILITIES    --------------------------------------------------------------------------------  • Continually develop sales abilities and product knowledge   • Build expertise on products and services by completing online training modules.   • Keep abreast of new phones and wireless technologies.       WHAT WE OFFER  --------------------------------------------------------------------------------   • Flexible Work Schedule   • Paid Training   • Competitive Commission Structure plus a base hourly wage   • Excellent Career Development Opportunities      Lots of opportunity to add extra dollars to your paycheck!   Requirements Requirements  •Must be at least 18 years of age.  •High school diploma required, college degree preferred.  •Customer service experience is a plus  •Sales experience is a plus.  •Must be available to work mornings/evenings/weekends.  * Subject to background check   Only those with a strong desire to succeed need apply! 
ms-or-phd-needed 2-4-years-experience-needed	Kedren Community Health Center, Inc. is seeking a VP of Operations.  The corporation comprises an acute psychiatric hospital with out-patient specialty mental health,, and prevention and early intervention services which include, Head Start/State Preschool and Pediatric Out-Patient Programs. Candidate should have Masters in Business or Public Administration with a minimum of 3-years senior management experience with responsibilities in similar programs and services.   The VP of Operations will report directly to the CEO.    Kedren Community Health Center, Inc. is an Equal Employment Opportunity employer, offering employment without regard to race, color, religion, sex, national origin, age, sexual orientation, veteran status, disability, citizenship or any other legally protected trait, unless authorized under applicable law.
part-time-job 1-year-experience-needed supervising-job	*Description:* Multiplex Theater Company looking for a part-time Assistant Manager to join our organization. Potential candidate must possess superior guest service, be able to supervise staff of 25+, maintain facility integrity and meet financial expectations for our Seymour, CT location. This position reports directly to the General Manager, and would involve nights, weekends with some holidays. Candidate should have excellent time management and the ability to stay organized. Candidate should be comfortable with recruiting, developing new staff, inventory control, payroll and scheduling. Come be a part of the movie magic! 1-3 years management experience required, degree is a bonus, experience with minor repairs/maintenance a huge plus   No Phone Calls Please  *Requirements:* • You enjoy working some nights, weekends, holidays, and it fits with your lifestyle  •       Experience with minor repairs/maintenance a huge plus • Excellent organizational and time management skills.  • You are able to recruit, develop, and train others.  • You can assist directly with scheduling, payroll, inventory control and day to day operations. • Willing to manage projects or take initiative when a project requires leadership. • Ability to work in a team oriented, fast paced environment • Basic personal computer skills and the ability to use a Point of Sale system.  • Dedication to providing the highest level of exceptional guest service.  • You have a genuine desire to help grow our customer base through multiple marketing facets • Comfortable networking with major film companies or vendors for purchasing and marketing  • 1-3 years experience in team management •       This is a part time position averaging 32 hours weekly, not to exceed 40  No Phone Calls Please
salary 1-year-experience-needed associate-needed	*Paragon*  has become the country’s largest and most technically proficient resource for unused and remanufactured telecommunications systems and equipment.   At Paragon, we pride ourselves on being the most experienced and knowledgeable sales and support professionals in the industry. Each member of the Sales Team has the ability to meet the widest range of customer needs in each of our major product lines. We give our customers the highest level of personal attention, so they can trust Paragon to solve each and every challenge in the most efficient, cost-effective fashion, with absolutely no compromise in quality or performance.   *Paragon just relocated to a new 300,000 SF facility in Bolton and is expanding its sales team for 2013.  If you are looking for a fun, exciting and long term career, now is a great time to join our team of professionals and be the best in the business.*    *Inside Sales Executives Responsibilities: *  •Telephone prospects to identify appropriate contacts, qualify and generate leads through the sales pipeline.  •Effectively influence and motivate buyers and decision makers  •Prepare and deliver customer quotes using sound judgment  •Complete and submit RFP’s while making competent decisions in the best interest of Paragon  •Meet and exceed sales quota, outbound call, and talk time quotas  •Track sales progress through specific mediums and follow up as needed  •Build and maintain positive customer relationships  •Implement technical skills into sales process  •Work collectively with sales team members and co-workers, and management  •Meet with clients on and off-site to enhance the business relationship   *Requirements*  •Candidates will have an Associate's degree in a technical or business discipline or equivalent work experience.  •Work experience should include a minimum of 1-2 years in a sales or sales support role.  •Gain knowledge of the products being sold and remain educated and up-to-date on changes and developments in the telecom industry  •Not be easily discouraged by negative reactions  •Combine phone courtesy and sales ability for optimal results  •Show strong work ethic, a competitive nature, and team-work skills  •Exercise discretion and independent judgment  •Excellent communication skills are required, both written and oral  •Be organized and persistent from the first call through each follow up call  •Build and maintain customer base   *At Paragon, we recognize that our people are our greatest asset and we support them by promoting a company culture where individual growth and development are encouraged. We believe people will ultimately work harder if they enjoy where they work and what they do. Paragon maintains business casual dress and upbeat atmosphere on a daily basis.  Our Bolton campus offers an onsite fitness facility, walking trails, softball field and basketball court.*  *Paragon offers rewarding compensation plans including comprehensive benefits packages. These benefits include major medical, health, vision, life, disability insurance, flexible spending, 401(k) with matching and paid time off. This position offers a base salary plus commission.  Starting base up to $40,000 plus unlimited commission.*   Qualified candidates should send resume and reference \"Paragon Sales\" in the subject line.   To learn more about Paragon, visit www.example.com or Like is on Facebook.   No agencies please
	Anderson Logistics deals with rush, expedited freight both locally and interstate.  Requirements for both will be outlay-ed upon interview. There are 3 main requirements for the On call driver. Flexible work hours that would relate to on call 24/7 unless specified.  A responsible driving record over the past 5 years and being able to clear TSA screening and background check.  Interstate and local straight truck (26') work is available following a DOT physical. Safety and reliability are required. Experience driving is preferred but not a requirement.
	Sr. Informatica Developer & Administrator Location: King of Prussia, Pa Length: 7+ months contract Rate: DOE _________   Senior Informatica Developer/Administrator will be required to analyze, configure, maintain, and build existing and to be developed ETL processes for an existing the Data Warehouse. This person must have a strong understanding and experience with Informatica Administration, Business Intelligence, and ETL Architecture. A strong understanding of relational databases and system integration is essential.   • Should Have 5-8 Exp on Informatica and DWH Concepts. • Ability to translate business requirements into ETL technical requirements • In-depth knowledge of all Informatica transformations, mappings, sessions, task, & workflow creation • Performance tuning of workflows • Able to handle shell scripts and stored procedures from Informatica • Experience creating PLSQL packages, procedures and functions as it relates to DML and creating objects with PL/SQL DDL. • Must be good in Unix shell scripting  • Monitoring the Job and Good debugging skills. • Should participate in system testing, UAT & code migration activities in various environment • Provide production support for the existing data warehouse and Informatica workflows • Document issues with Production runs and resolve them in a timely manner • Analyze and validate complex system requirements and existing business processes and information systems; Design, develop and implement new programs and/or modifications of existing applications. • Develop efficient ETL mappings by applying standard procedures, unit test and implement ETL routines and prepare supporting documentation. • Analyze source data, target data structures and ETL maps to contribute towards troubleshooting of production reporting issues. • Prioritize and address production defects by closely working with the business and analysts; Work on defect fixes; follow testing guidelines to unit, integrate and regression test and validate data with users prior to implementation in Production. • Work with the team to migrate and schedule jobs; Support managing ETL flows in Production. • Work with the reporting team to understand the business requirements and in the validation of data that supports reporting. • Experience administrating production Informatica environments • Grid experience a plus • Good communication skills and analytical skills is a must • Ability to work in a team atmosphere a must • Experience with ISC (Informatica Support Console) • Experience with Informatica PowerCenter  *
	Entrepreneurial multi-family developer/property manager who is expanding its national portfolio of institutional grade apartments is seeking to enhance its construction support staff. Primary responsibilities will be to support the senior project management staff as they execute on the renovation and new construction of market-rate apartment communities. Daily responsibilities will include but not necessarily limited to managing project files, assisting in the preparation of standard sub-contract agreements per the agreed to terms, tracking insurance certifications and renewals, preparing LOI’s and Notices to Proceed, reproduction and distribution of both electronic and printed drawings, construction documents and project correspondence. Additional responsibilities over a normal month will include processing/consolidating of individual subcontractor invoices into bi-monthly draw requests against capex escrows and approved budgets, tracking percent complete for approved work against milestone completion dates and assisting in processing general contractor draw requests for major new construction loans. As part of the payment process, both conditional and unconditional lien waivers will be tracked and checked against sworn statements and periodic billings.   Qualifications: This is an entry level position in the organization. Applicants with a degree in accounting or background in bookkeeping a plus but not a requirement with some years of related experience. Candidates must possess proficiency in working with project budgets and schedules of value, monthly billings, computations of retainage, lien waivers and releases and have a strong working knowledge of Microsoft Office particularly Word and Excel. Knowledge of Yardi Accounting Software a plus.
	Your mission:  Architecting, designing, developing and testing complex applications for iPhone and iPad devices. With technology environments that range from traditional through bleeding-edge, our clients offer exciting opportunities for iOS developers to hone their skills on systems that matter.  Your skills:      iOS development experience with Objective-C, Cocoa Touch, OpenGL, iPhone/iPad Apple SDK, etc.     Excellent understanding of object-oriented software design patterns and good debugging skills.     Strong working knowledge of HTML5 and CSS.     Must be proficient in all major web development applications. Specifically Adobe Flash CS5, Fireworks CS5, Illustrator CS5, Photoshop CS5, and Acrobat Pro.     Ability to lead a project through the completion of all phases.     Operates effectively in a fast-paced, deadline driven, collaborative and iterative programming environment.     Android experience a plus.     Experience with version control systems such as Git or Subversion.     Experience building an iPhone app from start to finish.     Strong knowledge of content development for mobile devices and application of HTML5.     Solid work ethic.     Self-driven and self-managed with the ability to operate effectively with minimum oversight.     Strong communication skills are a must with a high emphasis on the ability to explain technology in business terms and to express opinions clearly in a straightforward manner.  Our mission:  Keep IT at Home. The mission of Ameritas is to help rebuild United States’ IT leadership while delivering outstanding value to our clients. Our goal is to create jobs and economic opportunities that strengthen the communities we serve through providing our employees with training and viable career paths in attractive and affordable locales.
bs-degree-needed 1-year-experience-needed	Getman Corporation, a Southwest Michigan manufacturer of underground mining equipment, is looking for a Warehouse Manager for its Kalamazoo facility. This position entails supervising and coordinating activities of employees concerned with ordering, receiving, storing, inventorying, issuing, and shipping materials, supplies, tools, equipment, and parts, in stockroom and warehouse.  *To succeed in the position, the desired skills and experience include:*  • Bachelor's degree (B. A.) from four-year college or university; or one to two years related  experience and/or training; or equivalent combination of education and experience. • Proven understanding of production and inventory management, product flow workloads,  training, quality guidelines, and safety principles. • Identify and implement procedures to reduce costs, eliminate waste, and improve overall  efficiency (e.g. on-time and complete shipments). • Demonstrated strong collaborative leadership, professionalism, accountability, and high  problems solving skills in managing cross functional teams. • Maintain Kanban levels as needed to meet production and desired inventory levels.  • Supervise the packing of aftermarket part sales and the proper accurate shipment of items.  • Build relationships with a diverse group of individuals • Coordinate a high level of material handling and shipping/receiving activities under a variety of  conditions and constraints • Co-ordinate and develop targets for achieving cost reductions within labor, material and  process expenses • Problem solve to determine reasons for discrepancies between inventory and stock control  records and take actions to resolve discrepancies • Planning, assigning, and directing work; appraising performance; rewarding and disciplining  employees; addressing complaints and resolving problems.  Getman has been steadily growing and making its mark in the Mining Industry. The company’s over fifty years of commitment to providing customer-specific solutions to underground mines has propelled its growth and established its brand in the industry. Getman is looking to share this history of success with individuals who have the same passion for safety, excellence, and quality.  Getman’s Management Team is composed of strategic thinkers who bring in diverse experiences and leadership attributes towards the development and implementation of key actions anchored on the company’s vision.   We offer a highly competitive salary and benefits package, including; medical, dental, vision, life insurance, 401k, health club membership reimbursement, and so much more!  Join Getman Corporation’s Management Team and become part of its history of success!
supervising-job licence-needed	Title: Program Manager Location: Washington DC   Responsibilities: •Oversee program implementation, contractual and financial responsibilities, and resource allocations. •Supervise IT operations, which encompass user systems, integration, deployment, and training, in diverse operating environments with employees of various job categories and skills.  •Implement ITIL processes. •Interact and communicate with key managers and functional experts to understand the current environment, the contract requirements and proposed solution. •Develop and gain approval for project scope, schedule, cost, and quality management plans to implement technical solutions.   Minimum Qualifications: •Technical experience in IT with experience as a Program Manager, Deputy Program Manager, or Project Manager.  •Experience with the planning, management, leadership, coordination, budgeting, customer contact and execution of large-scale and complex web application/system development projects. •ITIL v3 and PMP certification highly desirable
salary 2-4-years-experience-needed	Performs administrative and office support activities for facility. Duties may include fielding telephone calls, interacting with corporate office on many tasks, receiving and directing visitors, word processing, filing, and faxing. Extensive software skills are required, as well as Internet research abilities and strong communication skills.   • Distribute, collect, review, and forward new hire paperwork to the HR department • Edit and audit employee time sheets for the payroll department  • Purchase requisitions • Receive, review, and allocate vendor supplies • Handle the scheduling of steel from mills to shop • Compliance documentation (safety, drivers log, etc.) • Weekly stock reports/inventory database • Upload BOL’s to share point • Host safety orientation • And other duties as assigned  REQUIRED EDUCATION AND/OR EXPERIENCE:    • Two to four years secretarial/administrative experience in a fast paced environment  • Strong working knowledge of Microsoft Word, Excel, Access and PowerPoint.  • Effective communication (verbal/written), organizational and interpersonal skills  • Demonstrate effective conflict resolution and customer service skills for interaction with customers, tenants, and co-workers  • Ability to prioritize, coordinate, multi-task, and demonstrate initiative  • Work well independently and as a team  • High school and college degree preferred  COMPENSATION:  We offer our employees a competitive salary and benefits package, which includes a comprehensive Medical, Vision, and Dental Plan, Company paid Life and Disability Insurance, 401(k) Plan, and Education/Certification assistance.  Relocation assistance is available for this position. We are an equal opportunity/affirmative action employer. We recognize the power and importance of a diverse employee population and strongly encourage applicants with various experiences and backgrounds.   No recruiters or agencies please.
supervising-job 2-4-years-experience-needed	Assistant Construction Superintendent   Integrity is a Dallas Ft Worth home builder with over 25 years of success.  We focus on developing and building world class patio home communities for 50+ Active Adults.   We are hiring now for our fast growing Villas of Stone Glen in Keller Texas.  This development has proven success, strong financial support and commitment from bank and investors as well as our national partner, Epcon Communities.  Once this community is complete, the position will transfer to a newer community in Tarrant, Denton or Collin County.  Integrity is planning aggressive growth over the next several years, and is looking for highly motivated, ambitious, high-caliber professionals to grow with our company. We are currently looking to hire a Construction Superintendent for the Villas of Stone Glen development. The Assistant Construction Superintendent coordinates all home construction activities, inclusive of using our CM system, Build Topia, from lot preparation through closing and supervises all subcontractors to successfully complete each home on schedule and within budget. This includes maintaining the highest customer quality, maintaining effective communication with the sales team, scheduling/supervising/reviewing subcontractors, while administering good construction safety practices with all on-site activities. * Maintains construction schedule, identifies and solves problems. * Orders materials and schedules inspections as necessary throughout the process. * Understands and follows the plans, specifications and the Integrity Systems/Processes. * Maintains positive relationships with customers, contractors, suppliers and other employees. * Prepares, schedules and supervises completion of a final punch list. * Promotes job site safety, encourages safe work practices and rectifies job site hazards immediately.  Ensures adherence to Integrity safety policies. * Requires strong organizational skills, excellent attention to detail, effective listening/communication skills and ability to rapidly assess/solve problems.   *Education and Experience* * 3+ years of successful Project Management/Superintendent experience with a production residential builder. * College degree preferred but not required. Desirable study concentration in construction management. * Experienced in scheduling, ordering, field supervision, quality control, and production of all phases of residential construction. * Experienced in managing multiple projects at one time * Personal computer experience required.  Experience with Buildtopia and/or Bluebeam a strong plus.
